workshop_id|bucket|asset_type|title|source_path|status|notes|validation_issues
04||pdf|Money Basics PPT Workshop 4|Parts/Teaching Materials/Workshop 4/Money Basics PPT Workshop 4.pdf|review||missing_bucket
04|Core_Resources|pptx|Money Basics PPT Workshop 4|Parts/Teaching Materials/Workshop 4/Money Basics PPT Workshop 4.pptx|ok||
04|Additional_Resources|docx|1. How to Open a Bank Account|Parts/Teaching Materials/Workshop 4/Resources/1. How to Open a Bank Account.docx|ok||
04|Additional_Resources|pdf|1. How to Open a Bank Account|Parts/Teaching Materials/Workshop 4/Resources/1. How to Open a Bank Account.pdf|ok||
04|Additional_Resources|pdf|2. What to Consider When Opening a Bank Account|Parts/Teaching Materials/Workshop 4/Resources/2. What to Consider When Opening a Bank Account.pdf|ok||
04|Additional_Resources|docx|3. How to Open a Checking Account With Bad Credit|Parts/Teaching Materials/Workshop 4/Resources/3. How to Open a Checking Account With Bad Credit.docx|ok||
04|Additional_Resources|pdf|3. How to Open a Checking Account With Bad Credit|Parts/Teaching Materials/Workshop 4/Resources/3. How to Open a Checking Account With Bad Credit.pdf|ok||
04|Additional_Resources|docx|4. Is Balancing Your Checkbook Still Important|Parts/Teaching Materials/Workshop 4/Resources/4. Is Balancing Your Checkbook Still Important.docx|ok||
04|Additional_Resources|pdf|4. Is Balancing Your Checkbook Still Important|Parts/Teaching Materials/Workshop 4/Resources/4. Is Balancing Your Checkbook Still Important.pdf|ok||
04|Additional_Resources|pdf|5. Check Writing Tips|Parts/Teaching Materials/Workshop 4/Resources/5. Check Writing Tips.pdf|ok||
04|Additional_Resources|pdf|6. Common Banking Fees|Parts/Teaching Materials/Workshop 4/Resources/6. Common Banking Fees.pdf|ok||
04|Additional_Resources|pdf|How to Read a Check|Parts/Teaching Materials/Workshop 4/Resources/How to Read a Check.pdf|ok||
04|Additional_Resources|pdf|How to Write a Check|Parts/Teaching Materials/Workshop 4/Resources/How to Write a Check.pdf|ok||
04|Additional_Resources|pdf|Keeping a Check Register|Parts/Teaching Materials/Workshop 4/Resources/Keeping a Check Register.pdf|ok||
